kwd_no,키워드명,상품카테고리,리스크 등급,대체키워드,리스크 등급별 세부 심의기준,증빙자료유형,키워드 조회 수(누적카운트),마지막 출력일자,키워드등록일자,키워드등록인,비고,키워드 등록일자
US000,"[필수사항] 화장품+디바이스 결합제품 
공통 Disclaimer 필수 삽입",USA(뷰티&디바이스),-,"<화장품+디바이스 결합제품  공통 Disclaimer>
Disclaimer: 
This product is not intended to diagnose, treat, cure, or prevent any disease or medical condition.
The terms such as “radiance,” “even-looking,” and similar expressions are intended to describe cosmetic appearance only.",ROK 검토의견,,6,2025-12-19 11:52:25,,,,
US001,99.9% natural(99.9% 천연 (99.9% 자연에서 온),USA(뷰티&디바이스),1등급(사용금지),-,(사용금지),,8,2025-12-19 11:52:25,,,,
US002,Acne,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,61,2026-01-13 00:25:51,,,,
US003,Acne Removal,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US004,Acne Scar Treatment,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US005,All Natural (모두 자연의),USA(뷰티&디바이스),1등급(사용금지),-,(사용금지),,4,2025-12-18 11:56:48,,,,
US006,Anti-Acne,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US007,Antibacterial,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,4,2025-12-19 11:52:25,,,,
US008,Anti-bacterial (항균),USA(뷰티&디바이스),1등급(사용금지),-,(사용금지),,14,2025-12-19 15:01:57,,,,
US009,Anti-Microbial (항미생물),USA(뷰티&디바이스),1등급(사용금지),-,(사용금지),,8,2025-12-19 15:02:45,,,,
US010,Blemish,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,8,2025-12-19 11:52:25,,,,
US011,Blemish Treatment,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,1,2025-12-19 11:52:25,,,,
US012,Blue light therapy is a clinically accepted approach for Propionibacterium acnes infections,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
US013,Breakout Treatment,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,1,2025-12-19 11:52:25,,,,
US014,Breakouts Relief,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,3,2025-12-18 11:56:48,,,,
US015,contaminants (오염물질),USA(뷰티&디바이스),1등급(사용금지),-,(사용금지),,7,2025-12-19 11:52:25,,,,
US016,controls acne blemishes,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,4,2025-12-19 11:52:25,,,,
US017,designed to treat dark spot-prone area,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,4,2025-12-19 11:52:25,,,,
US018,discoloration,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,6,2025-12-19 11:52:25,,,,
US019,Fades dark spots,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,2,2025-12-15 11:54,,,,
US020,for dark spot correction,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,0,,,,,
US021,Melanin-Rich Spots,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,0,,,,,
US022,Pore Improvement,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,52,2025-12-22 11:06:29,,,,
US023,Pore Soothing,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 15:02:45,,,,
US024,pores improvement,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,10,2025-12-19 15:01:57,,,,
US025,Problematic skin,USA(뷰티&디바이스),1등급(사용금지),-,ROK 검토의견,,5,2025-12-19 11:52:25,,,,
